"filename", "language", "JavaScript", "TypeScript", "TypeScript React", "XML", "CSS", "JavaScript React", "JSON", "Less", "comment", "blank", "total"
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer6.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer7.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer8.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer9.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/defaultDepartMent.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 0, 16
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/defaultGroup.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 0, 17
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/defaultPerson.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 0, 16
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/deleteIcon.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/empty.svg", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 1, 0, 23
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/emptyData.svg", "XML", 0, 0, 0, 59, 0, 0, 0, 0, 1, 0, 60
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/eye.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/face.svg", "XML", 0, 0, 0, 20, 0, 0, 0, 0, 1, 0, 21
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/file1.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 1, 0, 9
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/file2.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 1, 0, 9
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/file3.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 1, 0, 9
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/fileEdit.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/fileGroup.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/fileGroupW.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/fileShare.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/fileUrl.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/fileView.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/finishb.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/fire.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/fireBlue.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/fixIcon.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 1, 0, 12
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/fullscreen.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/gridPersonb.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 0, 19
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/gridTimeb.svg", "XML", 0, 0, 0, 20, 0, 0, 0, 0, 1, 0, 21
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/groupPersonb.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/groupSet6.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/groupb.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 1, 0, 18
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/help.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 0, 19
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/helpMsg.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/hour.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/huoli.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 1, 0, 9
