Date : 2023-01-18 11:55:38
Directory : /Users/xiaodi/Desktop/program/react/react-workfly/src
Total : 659 files,  83959 codes, 8018 comments, 3083 blanks, all 95060 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/view.tsx                                      | TypeScript React |         57 |          3 |          2 |         62 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/basic/basic.css                         | CSS              |         66 |          0 |          5 |         71 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/basic/basic.tsx                         | TypeScript React |        272 |         53 |          5 |        330 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/basic/fileBasic.tsx                     | TypeScript React |         17 |          1 |          2 |         20 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/board/mainBoard.css                     | CSS              |         32 |          3 |          1 |         36 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/board/mainBoard.tsx                     | TypeScript React |        208 |          7 |          9 |        224 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/board/memberBoard.css                   | CSS              |        100 |          6 |         13 |        119 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/board/memberBoard.tsx                   | TypeScript React |        317 |         25 |          7 |        349 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/board/messageBoard.css                  | CSS              |        100 |          2 |         12 |        114 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/board/messageBoard.tsx                  | TypeScript React |        411 |         26 |         10 |        447 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/board/messageBoardItem copy.tsx         | TypeScript React |        379 |         23 |         10 |        412 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/board/messageBoardItem.css              | CSS              |        115 |          2 |         15 |        132 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/board/messageBoardItem.tsx              | TypeScript React |        282 |          8 |          5 |        295 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/bootpage/bootpage.css                   | CSS              |         88 |          1 |         11 |        100 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/bootpage/bootpage.tsx                   | TypeScript React |         99 |         21 |          1 |        121 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/calendar/calendar.css                   | CSS              |        188 |         14 |         27 |        229 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/calendar/calendar.tsx                   | TypeScript React |        795 |         37 |         20 |        852 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/calendar/calendarHeader.css             | CSS              |         15 |          0 |          1 |         16 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/calendar/calendarHeader.tsx             | TypeScript React |         18 |          2 |          2 |         22 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/calendar/calendarInfo copy.tsx          | TypeScript React |        729 |         47 |         12 |        788 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/calendar/calendarInfo.css               | CSS              |        233 |          2 |         34 |        269 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/calendar/calendarInfo.tsx               | TypeScript React |        817 |        159 |         17 |        993 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/calendar/calendarItem.css               | CSS              |         51 |          1 |          2 |         54 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/calendar/calendar_copy.tsx              | TypeScript React |        848 |         97 |         16 |        961 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/chat/chat.css                           | CSS              |         38 |          0 |          1 |         39 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/chat/chat.tsx                           | TypeScript React |        181 |          0 |          8 |        189 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/common/common.css                       | CSS              |          3 |          0 |          0 |          3 |
